Guerra Produto + Classificação,Grupo,Produto,Variedade,Classificação,CONCAT
1@193,FRUTAS,ABACATE,AVOCADO/HASS/FUERTE,A,ABACATE_A
4@443,FRUTAS,ABACATE,FUCKS,BOCA 8 A 11,ABACATE_BOCA 8 A 11
4@444,FRUTAS,ABACATE,FUCKS,BOCA 12 A 15,ABACATE_BOCA 12 A 15
5@928,FRUTAS,ABACATE,GEADA,BOCA 08 A 11,ABACATE_BOCA 08 A 11
5@444,FRUTAS,ABACATE,GEADA,BOCA 12 A 15,ABACATE_BOCA 12 A 15
13@875,FRUTAS,ABACAXI,HAVAÍ,08 FRUTOS,ABACAXI_08 FRUTOS
13@289,FRUTAS,ABACAXI,HAVAÍ,10 FRUTOS,ABACAXI_10 FRUTOS
13@301,FRUTAS,ABACAXI,HAVAÍ,12 FRUTOS,ABACAXI_12 FRUTOS
14@875,FRUTAS,ABACAXI,PÉROLA,08 FRUTOS,ABACAXI_08 FRUTOS
14@289,FRUTAS,ABACAXI,PÉROLA,10 FRUTOS,ABACAXI_10 FRUTOS
14@301,FRUTAS,ABACAXI,PÉROLA,12 FRUTOS,ABACAXI_12 FRUTOS
16@,FRUTAS,ACEROLA,,,
35@349,FRUTAS,AMEIXA,FORTUNE,CALIBRE 4,AMEIXA_CALIBRE 4
35@262,FRUTAS,AMEIXA,FORTUNE,CALIBRE 3,AMEIXA_CALIBRE 3
35@261,FRUTAS,AMEIXA,FORTUNE,CALIBRE 2,AMEIXA_CALIBRE 2
270@,FRUTAS,AMEIXA,IMP. CHILE,,
30@349,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 4,AMEIXA_CALIBRE 4
30@262,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 3,AMEIXA_CALIBRE 3
30@261,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 2,AMEIXA_CALIBRE 2
32@349,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 4,AMEIXA_CALIBRE 4
32@262,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 3,AMEIXA_CALIBRE 3
32@261,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 2,AMEIXA_CALIBRE 2
36@,FRUTAS,AMEIXA,SECA IMP.,,
38@,FRUTAS,AMORA,,,
39@1269,FRUTAS,ATEMOIA,,05 A 08 FRUTOS,ATEMOIA_05 A 08 FRUTOS
39@889,FRUTAS,ATEMOIA,,09 A 12 FRUTOS,ATEMOIA_09 A 12 FRUTOS
39@39,FRUTAS,ATEMOIA,,13 A 18 FRUTOS,ATEMOIA_13 A 18 FRUTOS
42@241,FRUTAS,BANANA,MAÇÃ,PRIMEIRA,BANANA_PRIMEIRA
44@241,FRUTAS,BANANA,NANICA CLIMATIZADA,PRIMEIRA,BANANA_PRIMEIRA
44@247,FRUTAS,BANANA,NANICA CLIMATIZADA,SEGUNDA,BANANA_SEGUNDA
45@241,FRUTAS,BANANA,OURO VERDE,PRIMEIRA,BANANA_PRIMEIRA
48@241,FRUTAS,BANANA,PRATA MG,PRIMEIRA,BANANA_PRIMEIRA
48@247,FRUTAS,BANANA,PRATA MG,SEGUNDA,BANANA_SEGUNDA
50@241,FRUTAS,BANANA,PRATA SP,PRIMEIRA,BANANA_PRIMEIRA
50@247,FRUTAS,BANANA,PRATA SP,SEGUNDA,BANANA_SEGUNDA
51@241,FRUTAS,BANANA,TERRA,PRIMEIRA,BANANA_PRIMEIRA
53@877,FRUTAS,CAJU,,03 A 04 FRUTOS,CAJU_03 A 04 FRUTOS
53@53,FRUTAS,CAJU,,05 A 06 FRUTOS,CAJU_05 A 06 FRUTOS
54@54,FRUTAS,CAQUI,CHOCOLATE,30 A 32 FRUTOS,CAQUI_30 A 32 FRUTOS
54@59,FRUTAS,CAQUI,CHOCOLATE,36 A 42 FRUTOS,CAQUI_36 A 42 FRUTOS
54@60,FRUTAS,CAQUI,CHOCOLATE,60 A 64 FRUTAS,CAQUI_60 A 64 FRUTAS
57@54,FRUTAS,CAQUI,RAMA FORTE,30 A 32 FRUTOS,CAQUI_30 A 32 FRUTOS
57@59,FRUTAS,CAQUI,RAMA FORTE,36 A 42 FRUTOS,CAQUI_36 A 42 FRUTOS
57@60,FRUTAS,CAQUI,RAMA FORTE,60 A 64 FRUTAS,CAQUI_60 A 64 FRUTAS
60@,FRUTAS,CARAMBOLA,,,
64@193,FRUTAS,CEREJA,IMP.,A,CEREJA_A
68@,FRUTAS,COCO VERDE,,,
71@,FRUTAS,FEIJOA,,,
72@875,FRUTAS,FIGO,,08 FRUTOS,FIGO_08 FRUTOS
72@289,FRUTAS,FIGO,,10 FRUTOS,FIGO_10 FRUTOS
76@,FRUTAS,FRAMBOESA,,,
77@889,FRUTAS,GOIABA,BRANCA,09 A 12 FRUTOS,GOIABA_09 A 12 FRUTOS
77@313,FRUTAS,GOIABA,BRANCA,15 FRUTOS,GOIABA_15 FRUTOS
77@319,FRUTAS,GOIABA,BRANCA,18 FRUTOS,GOIABA_18 FRUTOS
78@889,FRUTAS,GOIABA,VERMELHA,09 A 12 FRUTOS,GOIABA_09 A 12 FRUTOS
78@313,FRUTAS,GOIABA,VERMELHA,15 FRUTOS,GOIABA_15 FRUTOS
78@319,FRUTAS,GOIABA,VERMELHA,18 FRUTOS,GOIABA_18 FRUTOS
79@,FRUTAS,GRANADILLA,IMP. COLÔMBIA,,
81@,FRUTAS,GRAVIOLA,,,
84@1038,FRUTAS,JABUTICABA,,CXT 1 KG,JABUTICABA_CXT 1 KG
85@,FRUTAS,JACA,,,
88@,FRUTAS,KINO,,,
267@267,FRUTAS,KIWI,IMP. CHILE,60 A 80 FRUTOS,KIWI_60 A 80 FRUTOS
89@267,FRUTAS,KIWI,IMP. ITÁLIA,60 A 80 FRUTOS,KIWI_60 A 80 FRUTOS
94@876,FRUTAS,LARANJA,BAIA,02 A 03 DZ,LARANJA_02 A 03 DZ
94@878,FRUTAS,LARANJA,BAIA,04 A 05 DZ,LARANJA_04 A 05 DZ
94@882,FRUTAS,LARANJA,BAIA,06 A 07 DZ,LARANJA_06 A 07 DZ
93@,FRUTAS,LARANJA,BAIA IMP.,,
95@888,FRUTAS,LARANJA,LIMA,09 A 12 DZ,LARANJA_09 A 12 DZ
95@898,FRUTAS,LARANJA,LIMA,13 A 15 DZ,LARANJA_13 A 15 DZ
95@904,FRUTAS,LARANJA,LIMA,16 A 21 DZ,LARANJA_16 A 21 DZ
96@888,FRUTAS,LARANJA,PERA,09 A 12 DZ,LARANJA_09 A 12 DZ
96@898,FRUTAS,LARANJA,PERA,13 A 15 DZ,LARANJA_13 A 15 DZ
96@904,FRUTAS,LARANJA,PERA,16 A 21 DZ,LARANJA_16 A 21 DZ
97@894,FRUTAS,LARANJA,SELETA,11 A 12 DZ,LARANJA_11 A 12 DZ
97@898,FRUTAS,LARANJA,SELETA,13 A 15 DZ,LARANJA_13 A 15 DZ
97@904,FRUTAS,LARANJA,SELETA,16 A 21 DZ,LARANJA_16 A 21 DZ
98@37,FRUTAS,LARANJA,VALÊNCIA,A (10/13 DZ),LARANJA_A (10/13 DZ)
98@43,FRUTAS,LARANJA,VALÊNCIA,B (14/15 DZ),LARANJA_B (14/15 DZ)
98@49,FRUTAS,LARANJA,VALÊNCIA,C (18/21 DZ),LARANJA_C (18/21 DZ)
101@61,FRUTAS,LIMA-DA-PÉRSIA,,A (09/10 DZ),LIMA-DA-PÉRSIA_A (09/10 DZ)
101@67,FRUTAS,LIMA-DA-PÉRSIA,,B (13/15 DZ),LIMA-DA-PÉRSIA_B (13/15 DZ)
101@73,FRUTAS,LIMA-DA-PÉRSIA,,C (18/24 DZ),LIMA-DA-PÉRSIA_C (18/24 DZ)
105@,FRUTAS,LIMÃO,SICILIANO,,
102@,FRUTAS,LIMÃO,SICILIANO IMP.,,
106@901,FRUTAS,LIMÃO,TAITI,15 A 18 DZ,LIMÃO_15 A 18 DZ
106@910,FRUTAS,LIMÃO,TAITI,21 A 27 DZ,LIMÃO_21 A 27 DZ
106@1057,FRUTAS,LIMÃO,TAITI,ACIMA DE 31 DZ,LIMÃO_ACIMA DE 31 DZ
114@,FRUTAS,MAÇÃ,EVA,,
116@116,FRUTAS,MAÇÃ,FUJI,80 A 100 FRUTOS,MAÇÃ_80 A 100 FRUTOS
116@117,FRUTAS,MAÇÃ,FUJI,110 A 135 FRUTOS,MAÇÃ_110 A 135 FRUTOS
116@118,FRUTAS,MAÇÃ,FUJI,150 A 180 FRUTOS,MAÇÃ_150 A 180 FRUTOS
158@107,FRUTAS,MAÇÃ,FUJI IMP.,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
158@165,FRUTAS,MAÇÃ,FUJI IMP.,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
117@116,FRUTAS,MAÇÃ,GALA,80 A 100 FRUTOS,MAÇÃ_80 A 100 FRUTOS
117@117,FRUTAS,MAÇÃ,GALA,110 A 135 FRUTOS,MAÇÃ_110 A 135 FRUTOS
117@118,FRUTAS,MAÇÃ,GALA,150 A 180 FRUTOS,MAÇÃ_150 A 180 FRUTOS
108@107,FRUTAS,MAÇÃ,GALA IMP.,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
108@165,FRUTAS,MAÇÃ,GALA IMP.,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
109@107,FRUTAS,MAÇÃ,GOLDEN IMP.,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
109@165,FRUTAS,MAÇÃ,GOLDEN IMP.,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
110@107,FRUTAS,MAÇÃ,GRANNY SMITH IMP.,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
110@165,FRUTAS,MAÇÃ,GRANNY SMITH IMP.,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
111@107,FRUTAS,MAÇÃ,RED IMP.,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
111@165,FRUTAS,MAÇÃ,RED IMP.,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
121@881,FRUTAS,MAMÃO,FORMOSA,05 A 09 FRUTOS,MAMÃO_05 A 09 FRUTOS
121@893929,FRUTAS,MAMÃO,FORMOSA,10 A 16 FRUTOS,MAMÃO_10 A 16 FRUTOS
120@301,FRUTAS,MAMÃO,HAVAÍ,12 FRUTOS,MAMÃO_12 FRUTOS
120@119,FRUTAS,MAMÃO,HAVAÍ,15  A 18 FRUTOS,MAMÃO_15  A 18 FRUTOS
120@325,FRUTAS,MAMÃO,HAVAÍ,21 FRUTOS,MAMÃO_21 FRUTOS
120@861,FRUTAS,MAMÃO,HAVAÍ,24/28 FRUTOS,MAMÃO_24/28 FRUTOS
126@126,FRUTAS,MANGA,HADEM,08 A 10 FRUTOS,MANGA_08 A 10 FRUTOS
126@301,FRUTAS,MANGA,HADEM,12 FRUTOS,MANGA_12 FRUTOS
126@899,FRUTAS,MANGA,HADEM,13 A 15 FRUTOS,MANGA_13 A 15 FRUTOS
126@319,FRUTAS,MANGA,HADEM,18 FRUTOS,MANGA_18 FRUTOS
129@126,FRUTAS,MANGA,PALMER,08 A 10 FRUTOS,MANGA_08 A 10 FRUTOS
129@301,FRUTAS,MANGA,PALMER,12 FRUTOS,MANGA_12 FRUTOS
129@899,FRUTAS,MANGA,PALMER,13 A 15 FRUTOS,MANGA_13 A 15 FRUTOS
129@319,FRUTAS,MANGA,PALMER,18 FRUTOS,MANGA_18 FRUTOS
130@193,FRUTAS,MANGA,ROSA,A,MANGA_A
131@126,FRUTAS,MANGA,TOMMY ATCKINS,08 A 10 FRUTOS,MANGA_08 A 10 FRUTOS
131@301,FRUTAS,MANGA,TOMMY ATCKINS,12 FRUTOS,MANGA_12 FRUTOS
131@899,FRUTAS,MANGA,TOMMY ATCKINS,13 A 15 FRUTOS,MANGA_13 A 15 FRUTOS
131@319,FRUTAS,MANGA,TOMMY ATCKINS,18 FRUTOS,MANGA_18 FRUTOS
135@969,FRUTAS,MARACUJÁ,AZEDO,SUPER,MARACUJÁ_SUPER
135@919,FRUTAS,MARACUJÁ,AZEDO,4A,MARACUJÁ_4A
135@874,FRUTAS,MARACUJÁ,AZEDO,3A,MARACUJÁ_3A
136@879,FRUTAS,MARACUJÁ,DOCE,04 A 06 FRUTOS,MARACUJÁ_04 A 06 FRUTOS
136@883,FRUTAS,MARACUJÁ,DOCE,07 A 09 FRUTOS,MARACUJÁ_07 A 09 FRUTOS
136@892,FRUTAS,MARACUJÁ,DOCE,10 A 15 FRUTOS,MARACUJÁ_10 A 15 FRUTOS
139@137,FRUTAS,MELANCIA,,GRAÚDA (MAIOR QUE 10 KG),MELANCIA_GRAÚDA (MAIOR QUE 10 KG)
139@138,FRUTAS,MELANCIA,,MÉDIA ( DE 7 A 10 KG),MELANCIA_MÉDIA ( DE 7 A 10 KG)
139@136,FRUTAS,MELANCIA,,MIÚDA (MENOR QUE 7 KG),MELANCIA_MIÚDA (MENOR QUE 7 KG)
247@,FRUTAS,MELANCIA,BABY,,
140@140,FRUTAS,MELÃO,AMARELO,05 A 07 FRUTOS,MELÃO_05 A 07 FRUTOS
140@141,FRUTAS,MELÃO,AMARELO,08 A 09 FRUTOS,MELÃO_08 A 09 FRUTOS
140@891,FRUTAS,MELÃO,AMARELO,10 A 12 FRUTOS,MELÃO_10 A 12 FRUTOS
140@142,FRUTAS,MELÃO,AMARELO,ACIMA DE 13 FRUTOS,MELÃO_ACIMA DE 13 FRUTOS
142@,FRUTAS,MELÃO,GÁLIA,,
144@877,FRUTAS,MELÃO,ORANGE,03 A 04 FRUTOS,MELÃO_03 A 04 FRUTOS
144@53,FRUTAS,MELÃO,ORANGE,05 A 06 FRUTOS,MELÃO_05 A 06 FRUTOS
144@144,FRUTAS,MELÃO,ORANGE,07 A 08 FRUTOS,MELÃO_07 A 08 FRUTOS
145@146,FRUTAS,MELÃO,PELE DE SAPO,06 A 08 FRUTOS,MELÃO_06 A 08 FRUTOS
145@141,FRUTAS,MELÃO,PELE DE SAPO,08 A 09 FRUTOS,MELÃO_08 A 09 FRUTOS
145@891,FRUTAS,MELÃO,PELE DE SAPO,10 A 12 FRUTOS,MELÃO_10 A 12 FRUTOS
147@878,FRUTAS,MEXERICA,RIO,04 A 05 DZ,MEXERICA_04 A 05 DZ
147@882,FRUTAS,MEXERICA,RIO,06 A 07 DZ,MEXERICA_06 A 07 DZ
147@885,FRUTAS,MEXERICA,RIO,08 A 09 DZ,MEXERICA_08 A 09 DZ
148@,FRUTAS,MIRTILO,,,
151@397,FRUTAS,MORANGO,CAMINO REAL,4 CUMB/2 CAM,MORANGO_4 CUMB/2 CAM
151@403,FRUTAS,MORANGO,CAMINO REAL,4 CUMB/ 1 CAM,MORANGO_4 CUMB/ 1 CAM
149@397,FRUTAS,MORANGO,COMUM,4 CUMB/2 CAM,MORANGO_4 CUMB/2 CAM
268@269,FRUTAS,NECTARINA,IMP. ARGENTINA,48 A 56 FRUTOS,NECTARINA_48 A 56 FRUTOS
269@269,FRUTAS,NECTARINA,IMP. CHILE,48 A 56 FRUTOS,NECTARINA_48 A 56 FRUTOS
165@107,FRUTAS,PERA,DANJOU IMP.,80 A 110 FRUTOS,PERA_80 A 110 FRUTOS
165@165,FRUTAS,PERA,DANJOU IMP.,120 A 150 FRUTOS,PERA_120 A 150 FRUTOS
254@,FRUTAS,PERA,ERCOLINI IMP.,,
253@,FRUTAS,PERA,FORELLI IMP.,,
166@,FRUTAS,PERA,HOSUI IMP.,,
168@168,FRUTAS,PERA,ROCHA IMP.,50 A 60 FRUTOS,PERA_50 A 60 FRUTOS
168@925,FRUTAS,PERA,ROCHA IMP.,A GRANEL,PERA_A GRANEL
170@116,FRUTAS,PERA,WILLIAMS IMP.,80 A 100 FRUTOS,PERA_80 A 100 FRUTOS
170@165,FRUTAS,PERA,WILLIAMS IMP.,120 A 150 FRUTOS,PERA_120 A 150 FRUTOS
179@349,FRUTAS,PÊSSEGO,ERAGIL,CALIBRE 4,PÊSSEGO_CALIBRE 4
179@262,FRUTAS,PÊSSEGO,ERAGIL,CALIBRE 3,PÊSSEGO_CALIBRE 3
179@261,FRUTAS,PÊSSEGO,ERAGIL,CALIBRE 2,PÊSSEGO_CALIBRE 2
182@269,FRUTAS,PÊSSEGO,IMP.,48 A 56 FRUTOS,PÊSSEGO_48 A 56 FRUTOS
159@269,FRUTAS,PÊSSEGO,IMP. ARGENTINA,48 A 56 FRUTOS,PÊSSEGO_48 A 56 FRUTOS
160@269,FRUTAS,PÊSSEGO,IMP. CHILE,48 A 56 FRUTOS,PÊSSEGO_48 A 56 FRUTOS
207@,FRUTAS,PHYSALIS,,,
208@883,FRUTAS,PINHA,,07 A 09 FRUTOS,PINHA_07 A 09 FRUTOS
208@891,FRUTAS,PINHA,,10 A 12 FRUTOS,PINHA_10 A 12 FRUTOS
208@899,FRUTAS,PINHA,,13 A 15 FRUTOS,PINHA_13 A 15 FRUTOS
209@,FRUTAS,PITAIA,,,
215@,FRUTAS,ROMÃ,,,
217@,FRUTAS,SERIGUELA,,,
218@,FRUTAS,TÂMARA,IMP.,,
219@,FRUTAS,TAMARILLO,,,
223@1069,FRUTAS,TANGERINA,MURCOTE,03 A 04 DZ,TANGERINA_03 A 04 DZ
223@1075,FRUTAS,TANGERINA,MURCOTE,05 A 06 DZ,TANGERINA_05 A 06 DZ
223@886,FRUTAS,TANGERINA,MURCOTE,08 A 10 DZ,TANGERINA_08 A 10 DZ
255@,FRUTAS,UVA,ARRA 15,,
242@193,FRUTAS,UVA,BENITAKA,A,UVA_A
232@193,FRUTAS,UVA,BRASIL,A,UVA_A
227@193,FRUTAS,UVA,CLARA SEM SEMENTE,A,UVA_A
227@199,FRUTAS,UVA,CLARA SEM SEMENTE,B,UVA_B
233@193,FRUTAS,UVA,CRIMSON,A,UVA_A
233@199,FRUTAS,UVA,CRIMSON,B,UVA_B
256@,FRUTAS,UVA,ISIS,,
243@193,FRUTAS,UVA,ITÁLIA,A,UVA_A
274@,FRUTAS,UVA,MELODIA,,
235@,FRUTAS,UVA,MOSCATO,,
236@193,FRUTAS,UVA,NIÁGARA,A,UVA_A
236@199,FRUTAS,UVA,NIÁGARA,B,UVA_B
245@,FRUTAS,UVA,PASSA SECA IMP.,,
257@,FRUTAS,UVA,PRETA COM SEMENTE,,
244@193,FRUTAS,UVA,RED GLOBE,A,UVA_A
244@199,FRUTAS,UVA,RED GLOBE,B,UVA_B
240@193,FRUTAS,UVA,THOMPSON,A,UVA_A
240@199,FRUTAS,UVA,THOMPSON,B,UVA_B
237@193,FRUTAS,UVA,VITÓRIA,A,UVA_A
237@199,FRUTAS,UVA,VITÓRIA,B,UVA_B
400@,LEGUMES,ABÓBORA,DÁGUA,,
401@,LEGUMES,ABÓBORA,JAPONESA,,
402@,LEGUMES,ABÓBORA,MORANGA,,
403@,LEGUMES,ABÓBORA,PAULISTA,,
404@,LEGUMES,ABÓBORA,SECA,,
405@874,LEGUMES,ABOBRINHA,BRASILEIRA,3A,ABOBRINHA_3A
405@873,LEGUMES,ABOBRINHA,BRASILEIRA,2A,ABOBRINHA_2A
405@872,LEGUMES,ABOBRINHA,BRASILEIRA,1A,ABOBRINHA_1A
406@874,LEGUMES,ABOBRINHA,ITALIANA,3A,ABOBRINHA_3A
406@873,LEGUMES,ABOBRINHA,ITALIANA,2A,ABOBRINHA_2A
406@872,LEGUMES,ABOBRINHA,ITALIANA,1A,ABOBRINHA_1A
409@873,LEGUMES,BATATA-DOCE,BRANCA,2A,BATATA-DOCE_2A
409@872,LEGUMES,BATATA-DOCE,BRANCA,1A,BATATA-DOCE_1A
409@1014,LEGUMES,BATATA-DOCE,BRANCA,G,BATATA-DOCE_G
410@873,LEGUMES,BATATA-DOCE,ROSADA,2A,BATATA-DOCE_2A
410@872,LEGUMES,BATATA-DOCE,ROSADA,1A,BATATA-DOCE_1A
410@1014,LEGUMES,BATATA-DOCE,ROSADA,G,BATATA-DOCE_G
411@873,LEGUMES,BATATA-DOCE,ROXA,2A,BATATA-DOCE_2A
411@872,LEGUMES,BATATA-DOCE,ROXA,1A,BATATA-DOCE_1A
411@1014,LEGUMES,BATATA-DOCE,ROXA,G,BATATA-DOCE_G
413@874,LEGUMES,BERINJELA,COMUM,3A,BERINJELA_3A
413@873,LEGUMES,BERINJELA,COMUM,2A,BERINJELA_2A
413@872,LEGUMES,BERINJELA,COMUM,1A,BERINJELA_1A
415@874,LEGUMES,BERINJELA,JAPONESA,3A,BERINJELA_3A
415@873,LEGUMES,BERINJELA,JAPONESA,2A,BERINJELA_2A
415@872,LEGUMES,BERINJELA,JAPONESA,1A,BERINJELA_1A
414@1017,LEGUMES,BERINJELA,PARA CONSERVA,P,BERINJELA_P
414@1018,LEGUMES,BERINJELA,PARA CONSERVA,M,BERINJELA_M
416@121,LEGUMES,BETERRABA,,ESPECIAL,BETERRABA_ESPECIAL
416@874,LEGUMES,BETERRABA,,3A,BETERRABA_3A
416@873,LEGUMES,BETERRABA,,2A,BETERRABA_2A
416@1014,LEGUMES,BETERRABA,,G,BETERRABA_G
418@873,LEGUMES,CARÁ,,2A,CARÁ_2A
418@1014,LEGUMES,CARÁ,,G,CARÁ_G
420@121,LEGUMES,CENOURA,,ESPECIAL,CENOURA_ESPECIAL
420@874,LEGUMES,CENOURA,,3A,CENOURA_3A
420@873,LEGUMES,CENOURA,,2A,CENOURA_2A
420@1014,LEGUMES,CENOURA,,G,CENOURA_G
422@874,LEGUMES,CHUCHU,,3A,CHUCHU_3A
422@873,LEGUMES,CHUCHU,,2A,CHUCHU_2A
422@872,LEGUMES,CHUCHU,,1A,CHUCHU_1A
432@874,LEGUMES,ERVILHA,TORTA,3A,ERVILHA_3A
432@873,LEGUMES,ERVILHA,TORTA,2A,ERVILHA_2A
432@872,LEGUMES,ERVILHA,TORTA,1A,ERVILHA_1A
436@193,LEGUMES,GENGIBRE,,A,GENGIBRE_A
437@874,LEGUMES,INHAME,,3A,INHAME_3A
437@873,LEGUMES,INHAME,,2A,INHAME_2A
437@872,LEGUMES,INHAME,,1A,INHAME_1A
438@874,LEGUMES,JILÓ,,3A,JILÓ_3A
438@873,LEGUMES,JILÓ,,2A,JILÓ_2A
438@872,LEGUMES,JILÓ,,1A,JILÓ_1A
440@163,LEGUMES,MANDIOCA,,GRAÚDA,MANDIOCA_GRAÚDA
440@169,LEGUMES,MANDIOCA,,MÉDIA,MANDIOCA_MÉDIA
440@175,LEGUMES,MANDIOCA,,MIÚDA,MANDIOCA_MIÚDA
441@121,LEGUMES,MANDIOQUINHA,,ESPECIAL,MANDIOQUINHA_ESPECIAL
441@874,LEGUMES,MANDIOQUINHA,,3A,MANDIOQUINHA_3A
441@873,LEGUMES,MANDIOQUINHA,,2A,MANDIOQUINHA_2A
441@872,LEGUMES,MANDIOQUINHA,,1A,MANDIOQUINHA_1A
442@,LEGUMES,MAXIXE,,,
443@,LEGUMES,NIGAGORI,,,
445@874,LEGUMES,PEPINO,CAIPIRA,3A,PEPINO_3A
445@873,LEGUMES,PEPINO,CAIPIRA,2A,PEPINO_2A
445@872,LEGUMES,PEPINO,CAIPIRA,1A,PEPINO_1A
446@874,LEGUMES,PEPINO,COMUM,3A,PEPINO_3A
446@873,LEGUMES,PEPINO,COMUM,2A,PEPINO_2A
446@872,LEGUMES,PEPINO,COMUM,1A,PEPINO_1A
448@874,LEGUMES,PEPINO,JAPONÊS,3A,PEPINO_3A
448@873,LEGUMES,PEPINO,JAPONÊS,2A,PEPINO_2A
448@872,LEGUMES,PEPINO,JAPONÊS,1A,PEPINO_1A
447@874,LEGUMES,PEPINO,PARA CONSERVA,3A,PEPINO_3A
449@873,LEGUMES,PIMENTA,CAMBUCI,2A,PIMENTA_2A
449@872,LEGUMES,PIMENTA,CAMBUCI,1A,PIMENTA_1A
477@,LEGUMES,PIMENTA,DEDO DE MOÇA,,
478@,LEGUMES,PIMENTA,MALAGUETA/MALAGUETÃO,,
451@874,LEGUMES,PIMENTA,VERDE AMERICANA,3A,PIMENTA_3A
451@873,LEGUMES,PIMENTA,VERDE AMERICANA,2A,PIMENTA_2A
451@872,LEGUMES,PIMENTA,VERDE AMERICANA,1A,PIMENTA_1A
453@874,LEGUMES,PIMENTÃO,AMARELO,3A,PIMENTÃO_3A
453@873,LEGUMES,PIMENTÃO,AMARELO,2A,PIMENTÃO_2A
453@872,LEGUMES,PIMENTÃO,AMARELO,1A,PIMENTÃO_1A
454@874,LEGUMES,PIMENTÃO,VERDE,3A,PIMENTÃO_3A
454@873,LEGUMES,PIMENTÃO,VERDE,2A,PIMENTÃO_2A
454@872,LEGUMES,PIMENTÃO,VERDE,1A,PIMENTÃO_1A
455@874,LEGUMES,PIMENTÃO,VERMELHO,3A,PIMENTÃO_3A
455@873,LEGUMES,PIMENTÃO,VERMELHO,2A,PIMENTÃO_2A
455@872,LEGUMES,PIMENTÃO,VERMELHO,1A,PIMENTÃO_1A
456@874,LEGUMES,QUIABO,,3A,QUIABO_3A
456@873,LEGUMES,QUIABO,,2A,QUIABO_2A
456@872,LEGUMES,QUIABO,,1A,QUIABO_1A
458@994,LEGUMES,TOMATE,CAQUI,TIPO 4/7,TOMATE_TIPO 4/7
458@1076,LEGUMES,TOMATE,CAQUI,TIPO 8/11,TOMATE_TIPO 8/11
472@874,LEGUMES,TOMATE,CARMEM,3A,TOMATE_3A
472@873,LEGUMES,TOMATE,CARMEM,2A,TOMATE_2A
472@872,LEGUMES,TOMATE,CARMEM,1A,TOMATE_1A
459@,LEGUMES,TOMATE,CEREJA,,
471@874,LEGUMES,TOMATE,DÉBORA,3A,TOMATE_3A
471@873,LEGUMES,TOMATE,DÉBORA,2A,TOMATE_2A
471@872,LEGUMES,TOMATE,DÉBORA,1A,TOMATE_1A
474@874,LEGUMES,TOMATE,HOLANDÊS,3A,TOMATE_3A
474@873,LEGUMES,TOMATE,HOLANDÊS,2A,TOMATE_2A
474@872,LEGUMES,TOMATE,HOLANDÊS,1A,TOMATE_1A
473@874,LEGUMES,TOMATE,PIZZADORO,3A,TOMATE_3A
473@873,LEGUMES,TOMATE,PIZZADORO,2A,TOMATE_2A
473@872,LEGUMES,TOMATE,PIZZADORO,1A,TOMATE_1A
467@,LEGUMES,TOMATE,SWEET GRAPE,,
462@874,LEGUMES,VAGEM,MACARRÃO,3A,VAGEM_3A
462@873,LEGUMES,VAGEM,MACARRÃO,2A,VAGEM_2A
462@872,LEGUMES,VAGEM,MACARRÃO,1A,VAGEM_1A
463@874,LEGUMES,VAGEM,MANTEIGA,3A,VAGEM_3A
463@873,LEGUMES,VAGEM,MANTEIGA,2A,VAGEM_2A
463@872,LEGUMES,VAGEM,MANTEIGA,1A,VAGEM_1A
464@874,LEGUMES,VAGEM,METRO,3A,VAGEM_3A
464@873,LEGUMES,VAGEM,METRO,2A,VAGEM_2A
412@874,LEGUMES,YACON,,3A,YACON_3A
412@873,LEGUMES,YACON,,2A,YACON_2A
600@600,VERDURAS,ACELGA,,08 CABEÇAS,ACELGA_08 CABEÇAS
601@,VERDURAS,ACELGA,CHINESA,,
602@631,VERDURAS,AGRIÃO,COMUM,20 MAÇOS,AGRIÃO_20 MAÇOS
603@603,VERDURAS,AGRIÃO,HIDROPÔNICO,15 MAÇOS,AGRIÃO_15 MAÇOS
604@,VERDURAS,ALECRIM,,,
605@1013,VERDURAS,ALFACE,AMERICANA,12 UNIDADES,ALFACE_12 UNIDADES
606@1015,VERDURAS,ALFACE,CRESPA,18 UNIDADES,ALFACE_18 UNIDADES
607@957,VERDURAS,ALFACE,CRESPA HIDROPÔNICA,20 UNIDADES,ALFACE_20 UNIDADES
608@1015,VERDURAS,ALFACE,LISA,18 UNIDADES,ALFACE_18 UNIDADES
